"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phsp","TimeFrame","GeoVintage","Source","Location"
"County","Autauga","AL","01001","=""01001""","87.70","2013-2017","2010","Census","United States"
"County","Baldwin","AL","01003","=""01003""","90.21","2013-2017","2010","Census","United States"
"County","Barbour","AL","01005","=""01005""","73.09","2013-2017","2010","Census","United States"
"County","Bibb","AL","01007","=""01007""","82.14","2013-2017","2010","Census","United States"
"County","Blount","AL","01009","=""01009""","79.78","2013-2017","2010","Census","United States"
"County","Bullock","AL","01011","=""01011""","71.36","2013-2017","2010","Census","United States"
"County","Butler","AL","01013","=""01013""","81.05","2013-2017","2010","Census","United States"
"County","Calhoun","AL","01015","=""01015""","83.22","2013-2017","2010","Census","United States"
"County","Chambers","AL","01017","=""01017""","80.85","2013-2017","2010","Census","United States"
"County","Cherokee","AL","01019","=""01019""","79.52","2013-2017","2010","Census","United States"
"County","Chilton","AL","01021","=""01021""","81.85","2013-2017","2010","Census","United States"
"County","Choctaw","AL","01023","=""01023""","80.09","2013-2017","2010","Census","United States"
"County","Clarke","AL","01025","=""01025""","81.47","2013-2017","2010","Census","United States"
"County","Clay","AL","01027","=""01027""","73.29","2013-2017","2010","Census","United States"
"County","Cleburne","AL","01029","=""01029""","75.82","2013-2017","2010","Census","United States"
"County","Coffee","AL","01031","=""01031""","85.39","2013-2017","2010","Census","United States"
"County","Colbert","AL","01033","=""01033""","83.91","2013-2017","2010","Census","United States"
"County","Conecuh","AL","01035","=""01035""","79.00","2013-2017","2010","Census","United States"
"County","Coosa","AL","01037","=""01037""","76.75","2013-2017","2010","Census","United States"
"County","Covington","AL","01039","=""01039""","82.04","2013-2017","2010","Census","United States"
"County","Crenshaw","AL","01041","=""01041""","79.34","2013-2017","2010","Census","United States"
"County","Cullman","AL","01043","=""01043""","82.11","2013-2017","2010","Census","United States"
"County","Dale","AL","01045","=""01045""","85.96","2013-2017","2010","Census","United States"
"County","Dallas","AL","01047","=""01047""","81.28","2013-2017","2010","Census","United States"
"County","DeKalb","AL","01049","=""01049""","73.64","2013-2017","2010","Census","United States"
"County","Elmore","AL","01051","=""01051""","86.38","2013-2017","2010","Census","United States"
"County","Escambia","AL","01053","=""01053""","80.97","2013-2017","2010","Census","United States"
"County","Etowah","AL","01055","=""01055""","83.06","2013-2017","2010","Census","United States"
"County","Fayette","AL","01057","=""01057""","79.64","2013-2017","2010","Census","United States"
"County","Franklin","AL","01059","=""01059""","76.35","2013-2017","2010","Census","United States"
"County","Geneva","AL","01061","=""01061""","79.00","2013-2017","2010","Census","United States"
"County","Greene","AL","01063","=""01063""","76.59","2013-2017","2010","Census","United States"
"County","Hale","AL","01065","=""01065""","81.06","2013-2017","2010","Census","United States"
"County","Henry","AL","01067","=""01067""","80.63","2013-2017","2010","Census","United States"
"County","Houston","AL","01069","=""01069""","85.32","2013-2017","2010","Census","United States"
"County","Jackson","AL","01071","=""01071""","81.38","2013-2017","2010","Census","United States"
"County","Jefferson","AL","01073","=""01073""","89.36","2013-2017","2010","Census","United States"
"County","Lamar","AL","01075","=""01075""","79.53","2013-2017","2010","Census","United States"
"County","Lauderdale","AL","01077","=""01077""","85.86","2013-2017","2010","Census","United States"
"County","Lawrence","AL","01079","=""01079""","78.02","2013-2017","2010","Census","United States"
"County","Lee","AL","01081","=""01081""","89.94","2013-2017","2010","Census","United States"
"County","Limestone","AL","01083","=""01083""","83.75","2013-2017","2010","Census","United States"
"County","Lowndes","AL","01085","=""01085""","75.97","2013-2017","2010","Census","United States"
"County","Macon","AL","01087","=""01087""","81.61","2013-2017","2010","Census","United States"
"County","Madison","AL","01089","=""01089""","90.82","2013-2017","2010","Census","United States"
"County","Marengo","AL","01091","=""01091""","83.19","2013-2017","2010","Census","United States"
"County","Marion","AL","01093","=""01093""","80.69","2013-2017","2010","Census","United States"
"County","Marshall","AL","01095","=""01095""","79.98","2013-2017","2010","Census","United States"
"County","Mobile","AL","01097","=""01097""","86.27","2013-2017","2010","Census","United States"
"County","Monroe","AL","01099","=""01099""","83.01","2013-2017","2010","Census","United States"
