"","GeoID","County_State","State","P_Obesity","MedianIncE","P_HS","P_FastFood","P_Doctor","Obesity_Prob"
"1",17051,"Fayette County, Illinois","IL",37.6,46650,86.6,42.42,79.6,"Higher Severity"
"2",17107,"Logan County, Illinois","IL",35.2,57308,91.52,33.33,80.4,"Lower Severity"
"3",17165,"Saline County, Illinois","IL",38.8,44090,88.18,47.5,82.8,"Higher Severity"
"4",17097,"Lake County, Illinois","IL",32.1,89427,90.8,47.77,79.8,"Lower Severity"
"5",17127,"Massac County, Illinois","IL",36.8,47481,87.66,52.63,82.9,"Higher Severity"
"6",17017,"Cass County, Illinois","IL",37.8,52373,86.17,45,78.2,"Higher Severity"
"7",18069,"Huntington County, Indiana","IN",36.1,53632,92.57,48.39,80.9,"Lower Severity"
"8",18181,"White County, Indiana","IN",35.9,54576,90.34,45,79.1,"Lower Severity"
"9",18075,"Jay County, Indiana","IN",39.6,47658,87.5,37.5,79.1,"Higher Severity"
"10",18145,"Shelby County, Indiana","IN",35.7,60404,89.13,45.16,80.6,"Lower Severity"
"11",18153,"Sullivan County, Indiana","IN",35.5,50245,88.85,46.15,79.8,"Lower Severity"
"12",18157,"Tippecanoe County, Indiana","IN",29.9,53130,92.02,41.33,74.7,"Lower Severity"
"13",18057,"Hamilton County, Indiana","IN",26.9,98173,97.16,42.86,80.5,"Lower Severity"
"14",18005,"Bartholomew County, Indiana","IN",36.1,63431,91.82,44.14,79.5,"Lower Severity"
"15",18049,"Fulton County, Indiana","IN",34.6,52034,87.32,31.43,78.9,"Lower Severity"
"16",18113,"Noble County, Indiana","IN",38.7,56789,83.18,48.33,79.5,"Higher Severity"
"17",18019,"Clark County, Indiana","IN",37.3,55630,90.52,49.75,79.6,"Higher Severity"
"18",18063,"Hendricks County, Indiana","IN",30.4,81933,93.48,45.1,79.5,"Lower Severity"
"19",18053,"Grant County, Indiana","IN",38.6,44356,88.58,50.51,80.4,"Higher Severity"
"20",18071,"Jackson County, Indiana","IN",37.6,51250,90.03,59.09,79.6,"Higher Severity"
"21",18119,"Owen County, Indiana","IN",38.9,49543,86.36,50,81.1,"Higher Severity"
"22",18183,"Whitley County, Indiana","IN",34.4,61741,91.84,43.14,81.3,"Lower Severity"
"23",18023,"Clinton County, Indiana","IN",38.6,54286,86.97,51.11,79.3,"Higher Severity"
"24",18161,"Union County, Indiana","IN",35.6,50375,88.79,57.14,79.2,"Lower Severity"
"25",18029,"Dearborn County, Indiana","IN",33.6,68658,91.12,45.9,80.8,"Lower Severity"
